Date,Predicted_Demand,Product_Code
2015-12-31,54.96586923276317,Product_2658
2016-01-31,54.69850906099822,Product_2658
2016-02-29,90.63402482179822,Product_2658
2016-03-31,226.0625341207136,Product_2658
2016-04-30,57.32956416470458,Product_2658
2016-05-31,56.93737034523693,Product_2658
2016-06-30,91.7606625292674,Product_2658
2016-07-31,52.70911597979061,Product_2658
2016-08-31,90.93893553118271,Product_2658
2016-09-30,49.034762768731376,Product_2658
2016-10-31,49.40606276256908,Product_2658
2016-11-30,49.73238896764967,Product_2658
2015-12-31,53.800094085862966,Product_5647
2016-01-31,54.32507829160223,Product_5647
2016-02-29,54.79873324696757,Product_5647
2016-03-31,55.22607495997638,Product_5647
2016-04-30,55.6116295295463,Product_5647
2016-05-31,106.62948096723504,Product_5647
2016-06-30,51.206314353723116,Product_5647
2016-07-31,68.39253478487379,Product_5647
2016-08-31,68.09991851788965,Product_5647
2016-09-30,100.54149048808617,Product_5647
2016-10-31,46.72465703069702,Product_5647
2016-11-30,47.8963995495374,Product_5647
2015-12-31,9.633518819023074,Product_9200
2016-01-31,29.759163683744674,Product_9200
2016-02-29,8.645287715735172,Product_9200
2016-03-31,9.274650326583197,Product_9200
2016-04-30,36.24356148928748,Product_9200
2016-05-31,22.58783746784197,Product_9200
2016-06-30,7.575200335739201,Product_9200
2016-07-31,8.297092145862688,Product_9200
2016-08-31,16.635338063941337,Product_9200
2016-09-30,8.949584845083022,Product_9200
2016-10-31,9.552575036023603,Product_9200
2016-11-30,40.655827573056406,Product_9200
2015-12-31,12.550531710583746,Product_4707
2016-01-31,31.05215273278135,Product_4707
2016-02-29,11.112453156837814,Product_4707
2016-03-31,11.07171449440369,Product_4707
2016-04-30,11.038873051642472,Product_4707
2016-05-31,11.012834554926728,Product_4707
2016-06-30,105.8455234856072,Product_4707
2016-07-31,15.667965199453768,Product_4707
2016-08-31,15.280750740391316,Product_4707
2016-09-30,24.242539538053478,Product_4707
2016-10-31,35.81487625885768,Product_4707
2016-11-30,11.419509198051644,Product_4707
2015-11-30,47.06389408133808,Product_6411
2015-12-31,47.20089276576298,Product_6411
2016-01-31,47.324411737759995,Product_6411
2016-02-29,47.43577908266782,Product_6411
2016-03-31,47.536191859608124,Product_6411
2016-04-30,47.62672904583331,Product_6411
2016-05-31,47.70836320053803,Product_6411
2016-06-30,65.88187097498458,Product_6411
2016-07-31,47.08140709180929,Product_6411
2016-08-31,46.37018486594465,Product_6411
2016-09-30,46.55892940657424,Product_6411
2016-10-31,87.32074798650274,Product_6411
2015-12-31,-10.718248935193202,Product_1726
2016-01-31,157.42831578412336,Product_1726
2016-02-29,-3.0408986064663566,Product_1726
2016-03-31,-3.9945000377664712,Product_1726
2016-04-30,-4.871277485557442,Product_1726
2016-05-31,-5.677236638757876,Product_1726
2016-06-30,-6.417933437791731,Product_1726
2016-07-31,-7.098505570036622,Product_1726
2016-08-31,-7.723702011485244,Product_1726
2016-09-30,-8.297910704849386,Product_1726
2016-10-31,-8.825184464462353,Product_1726
2016-11-30,-9.30926519766362,Product_1726
2015-12-31,9.94728837394723,Product_4517
2016-01-31,198.44624168217433,Product_4517
2016-02-29,-7.267514399166714,Product_4517
2016-03-31,-4.357518335198392,Product_4517
2016-04-30,-10.051917332393089,Product_4517
2016-05-31,-11.133683800419703,Product_4517
2016-06-30,-12.129656667721463,Product_4517
2016-07-31,-13.04637455082917,Product_4517
2016-08-31,-13.8899074154765,Product_4517
2016-09-30,21.124413280662452,Product_4517
2016-10-31,42.55055617835359,Product_4517
2016-11-30,-15.949483435718093,Product_4517
2015-10-31,1.546310860013203,Product_8579
2015-11-30,2.068738765035616,Product_8579
2015-12-31,2.544930993668321,Product_8579
2016-01-31,2.9789685124533003,Product_8579
2016-02-29,3.3745728230660275,Product_8579
2016-03-31,3.735137590184605,Product_8579
2016-04-30,4.0637574858047145,Product_8579
2016-05-31,4.363254495512709,Product_8579
2016-06-30,28.21227350227252,Product_8579
2016-07-31,3.4600188051687195,Product_8579
2016-08-31,38.639160832972536,Product_8579
2016-09-30,0.8758549497271,Product_8579
2015-12-31,7.720669707654244,Product_4297
2016-01-31,8.291403101177025,Product_4297
2016-02-29,8.807279561287112,Product_4297
2016-03-31,35.64582356218594,Product_4297
2016-04-30,12.12170424285048,Product_4297
2016-05-31,13.362250362765206,Product_4297
2016-06-30,7.824789353501339,Product_4297
2016-07-31,8.339581834030914,Product_4297
2016-08-31,8.809209965800415,Product_4297
2016-09-30,9.237612541185364,Product_4297
2016-10-31,9.628387081183849,Product_4297
2016-11-30,46.43031919512111,Product_4297
2015-11-30,22.245723528340903,Product_1441
2015-12-31,-4.911936643610515,Product_1441
2016-01-31,-4.144914584459444,Product_1441
2016-02-29,-3.4412925617964643,Product_1441
2016-03-31,8.462374450239906,Product_1441
2016-04-30,14.44372536673058,Product_1441
2016-05-31,-3.803553167323492,Product_1441
2016-06-30,27.031839653966028,Product_1441
2016-07-31,-4.974051167999168,Product_1441
2016-08-31,11.936302279847869,Product_1441
2016-09-30,-4.853419100078845,Product_1441
2016-10-31,-4.126596891250163,Product_1441
